TransactionID,CustomerID,Rating,Comments
1,28,4,"The product was excellent, but delivery was a bit late."
2,8,2,Product quality was not up to the mark. Disappointed.
3,58,5,Great experience! Very satisfied with the purchase.
4,89,3,Average product. Expected better quality for the price.
5,87,1,Terrible experience. Product arrived damaged.
6,24,4,The customer service was helpful in resolving my issue.
7,14,5,Highly recommend this product. Very happy with it!
8,94,3,"Satisfied with the purchase, but shipping took longer than expected."
9,73,4,Product was as described. No complaints.
10,65,2,Not happy with the product. Will not buy again.
11,51,5,Excellent product quality. Delivered on time.
12,53,3,Product was okay. Nothing extraordinary.
13,87,4,Happy with the purchase. Would buy again.
14,69,2,Product did not meet my expectations.
15,63,5,Absolutely love the product! Great value for money.
16,66,1,Worst purchase ever. Product broke within a week.
17,53,4,Good product quality. No issues with delivery.
18,14,3,"Product was fine, but packaging could have been better."
19,14,5,Very satisfied with the purchase. Will recommend to others.
20,58,2,Disappointed with the product. Did not match the description.
21,47,4,Impressed with the customer service. They were very responsive.
22,37,5,Exactly what I was looking for. Happy with my purchase.
23,86,3,"Product was good, but took longer to arrive than expected."
24,52,4,Satisfied with the product. No complaints.
25,23,2,Not happy with the quality. Expected better.
26,87,5,Excellent customer service. They resolved my issue promptly.
27,2,3,Average product quality. Expected more for the price.
28,49,4,Overall satisfied with the purchase experience.
29,23,2,Product did not meet my expectations. Disappointed.
30,83,5,Great product! Exactly as described.
31,67,1,Product was defective. Had to return it for a refund.
32,85,4,Happy with the purchase. No issues encountered.
33,35,3,Product was satisfactory. Nothing exceptional.
34,47,5,Very happy with the product. Exceeded my expectations.
35,94,2,Not satisfied with the purchase. Product was damaged.
36,23,4,Great product quality. Would buy again.
37,32,5,Extremely satisfied with the purchase. Highly recommend.
38,84,3,Decent product. Could be better for the price.
39,23,4,Product was as described. No complaints.
40,43,2,Product did not meet my expectations.
41,68,5,Very impressed with the product quality. Highly recommend.
42,7,3,Average product. Nothing special.
43,15,4,Satisfied with the purchase. Would buy again.
44,24,2,Disappointed with the product quality.
45,20,5,Excellent product! Very happy with the purchase.
46,91,1,Terrible experience. Product never arrived.
47,76,4,Good product quality. Delivery was on time.
48,12,3,"Product was fine, but customer service could be improved."
49,6,5,Extremely satisfied with the product. Exactly what I needed.
50,95,2,Not happy with the product. Quality was poor.
51,93,4,Good service
52,71,2,Slow response
53,75,5,Excellent support
54,70,3,Fair experience
55,79,4,Quick resolution
56,54,5,Very helpful
57,21,3,Needs improvement
58,55,5,Great assistance
59,14,2,Unsatisfactory
60,45,4,Responsive team
61,71,3,Average service
62,27,1,Poor response time
63,71,5,Exceptional service
64,97,4,Effective communication
65,27,2,Unsatisfactory resolution
66,4,5,Highly recommended
67,51,4,Friendly support
68,73,3,Satisfactory experience
69,77,1,Disappointing service
70,37,5,Very satisfied
71,100,3,Mediocre assistance
72,29,2,Inadequate resolution
73,15,5,Outstanding support
74,16,4,Resolved my issue
75,40,5,Excellent service
76,58,2,Slow support
77,24,4,Good resolution
78,39,3,Needs improvement
79,41,5,Quick response
80,88,4,Helpful staff
81,75,4,Good service
82,64,2,Slow response
83,42,5,Excellent support
84,5,3,Fair experience
85,51,4,Quick resolution
86,11,5,Very helpful
87,33,3,Needs improvement
88,52,5,Great assistance
89,97,2,Unsatisfactory
90,83,4,Responsive team
91,32,3,Average service
92,85,1,Poor response time
93,75,5,Exceptional service
94,10,4,Effective communication
95,61,2,Unsatisfactory resolution
96,20,5,Highly recommended
97,3,4,Friendly support
98,26,3,Satisfactory experience
99,82,1,Disappointing service
100,28,5,Very satisfied
101,27,3,Mediocre assistance
102,55,2,Inadequate resolution
103,29,5,Outstanding support
104,41,4,Resolved my issue
105,82,5,Excellent service
106,90,2,Slow support
107,65,4,Good resolution
108,76,3,Needs improvement
109,40,5,Quick response
110,71,4,Helpful staff
111,6,4,Good service
112,8,2,Slow response
113,61,5,Excellent support
114,94,3,Fair experience
115,55,4,Quick resolution
116,40,5,Very helpful
117,63,3,Needs improvement
118,1,5,Great assistance
119,87,2,Unsatisfactory
120,3,4,Responsive team
121,81,3,Average service
122,26,1,Poor response time
123,62,5,Exceptional service
124,84,4,Effective communication
125,13,2,Unsatisfactory resolution
126,83,5,Highly recommended
127,80,4,Friendly support
128,59,3,Satisfactory experience
129,70,1,Disappointing service
130,34,5,Very satisfied
131,99,3,Mediocre assistance
